日期,数值
20051124,35932
20051125,36581
20051128,36083
20051129,36277
20051130,37195
20051201,37298
20051202,38418
20051205,38397
20051206,38463
20051207,38712
20051208,39199
20051209,39372
20051212,40041
20051213,39420
20051214,40160
20051215,39538
20051216,39572
20051219,39897
20051220,39783
20051221,39739
20051222,40204
20051223,40688
20051226,41805
20051227,41990
20051228,42026
20051229,41364
20051230,41643
20060104,42385
20060105,42686
20060106,42997
20060109,43274
20060110,43786
20060111,43900
20060112,43789
20060113,43730
20060116,44389
20060117,44107
20060118,43100
20060119,43782
20060120,43489
20060123,43669
20060124,43806
20060125,44178
20060126,45488
20060127,45731
20060206,47468
20060207,48817
20060208,47451
20060209,48096
20060210,47789
20060213,46428
20060214,46874
20060215,47126
20060216,45539
20060217,45600
20060220,45721
20060221,46382
20060222,46321
20060223,45951
20060224,46356
20060227,45299
20060228,44832
20060301,44840
20060302,45861
20060303,46566
20060306,46585
20060307,45951
20060308,45761
20060309,45860
20060310,45376
20060313,45957
20060314,46176
20060315,46199
20060316,46072
20060317,46837
20060320,48352
20060321,48382
20060322,47948
20060323,48300
20060324,48654
20060327,48808
20060328,48944
20060329,48579
20060330,49170
20060331,50261
20060403,50106
20060404,51694
20060405,51933
20060406,53265
20060407,53794
20060410,54844
20060411,56014
20060412,55733
20060413,56128
20060414,57283
20060417,59095
20060418,60014
20060419,61560
20060420,60651
20060421,59154
20060424,62098
20060425,64110
20060426,66261
20060427,69499
20060428,67762
20060508,69883
20060509,73013
20060510,75852
20060511,79000
20060512,80933
20060515,82918
20060516,79659
20060517,81175
20060518,77875
20060519,76015
20060522,73454
20060523,70334
20060524,73368
20060525,72388
20060526,73634
20060529,75910
20060530,76258
20060531,73137
20060601,70183
20060602,69948
20060605,71919
20060606,69561
20060607,67422
20060608,68298
20060609,66360
20060612,63223
20060613,59617
20060614,57456
20060615,59362
20060616,60076
20060619,58604
20060620,58797
20060621,59225
20060622,61326
20060623,58525
20060626,58694
20060627,60829
20060628,59065
20060629,59167
20060630,61846
20060703,64877
20060704,65805
20060705,66777
20060706,65816
20060707,68865
20060710,70013
20060711,71327
20060712,73016
20060713,71025
20060714,70591
20060717,71896
20060718,68937
20060719,65527
20060720,65909
20060721,63651
20060724,62378
20060725,64082
20060726,63337
20060727,64891
20060728,65582
20060731,67619
20060801,68330
20060802,67482
20060803,70141
20060804,67940
20060807,69344
20060808,68551
20060809,67350
20060810,70147
20060811,69778
20060814,67980
20060815,67318
20060816,67368
20060817,67865
20060818,66775
20060821,66718
20060822,67947
20060823,67852
20060824,67685
20060825,67642
20060828,67764
20060829,67646
20060830,67139
20060831,67174
20060901,69602
20060904,71049
20060905,71177
20060906,73832
20060907,74589
20060908,73737
20060911,71126
20060912,69647
20060913,68545
20060914,70663
20060915,68676
20060918,69292
20060919,70299
20060920,68668
20060921,69440
20060922,70465
20060925,69939
20060926,69650
20060927,70485
20060928,70554
20060929,70908
20061009,70177
20061010,69925
20061011,69565
20061012,69981
20061013,69927
20061016,69964
20061017,72208
20061018,71304
20061019,71429
20061020,71385
20061023,71207
20061024,70374
20061025,70355
20061026,70689
20061027,69979
20061030,69585
20061031,69272
20061101,69659
20061102,68039
20061103,67358
20061106,68036
20061107,68404
20061108,68403
20061109,67213
20061110,67512
20061113,65045
20061114,64029
20061115,62075
20061116,63134
20061117,62301
20061120,62562
20061121,62325
20061122,63966
20061123,64293
20061124,66138
20061127,66697
20061128,66052
20061129,65537
20061130,65589
20061201,65272
20061204,65557
20061205,64274
20061206,65205
20061207,64448
20061208,64110
20061211,63963
20061212,64367
20061213,64062
20061214,63267
20061215,63339
20061218,63210
20061219,62842
20061220,62936
20061221,61111
20061222,59154
20061225,59570
20061226,59803
20061227,59815
20061228,60547
20061229,60367
20070104,57749
20070105,55304
20070108,52764
20070109,53431
20070110,54853
20070111,55028
20070112,54289
20070115,54355
20070116,52071
20070117,52882
20070118,53555
20070119,51299
20070122,52439
20070123,52094
20070124,53869
20070125,54332
20070126,53848
20070129,54593
20070130,52320
20070131,52881
20070201,53483
20070202,52739
20070205,50391
20070206,50590
20070207,51131
20070208,50483
20070209,51526
20070212,52803
20070213,52409
20070214,54193
20070215,54864
20070216,55403
20070226,57638
20070227,57797
20070228,58192
20070301,57488
20070302,57291
20070305,54974
20070306,56328
20070307,56473
20070308,57908
20070309,57274
20070312,57663
20070313,58533
20070314,58068
20070315,58903
20070316,60955
20070319,60231
20070320,61246
20070321,60305
20070322,60957
20070323,62136
20070326,62441
20070327,62621
20070328,61858
20070329,61544
20070330,62996
20070402,63057
20070403,63903
20070404,65525
20070405,66072
20070406,67561
20070409,69591
20070410,71304
20070411,70610
20070412,72978
20070413,70980
20070416,72992
20070417,72131
20070418,75418
20070419,73276
20070420,72558
20070423,71776
20070424,72821
20070425,70313
20070426,70860
20070427,68059
20070430,70715
20070508,72285
20070509,72909
20070510,72534
20070511,69272
20070514,68710
20070515,66541
20070516,67307
20070517,64026
20070518,61122
20070521,64211
20070522,64028
20070523,62202
20070524,63527
20070525,61810
20070528,63629
20070529,63881
20070530,63210
20070531,65014
20070601,65952
20070604,65158
20070605,67163
20070606,66797
20070607,65398
20070608,64215
20070611,63376
20070612,62851
20070613,62765
20070614,63322
20070615,63119
20070618,65067
20070619,64232
20070620,64573
20070621,64642
20070622,64086
20070625,62964
20070626,62574
20070627,60423
20070628,62511
20070629,63945
20070702,64166
20070703,66377
20070704,65572
20070705,66075
20070706,65296
20070709,66574
20070710,66337
20070711,64875
20070712,65464
20070713,64447
20070716,64876
20070717,64210
20070718,64553
20070719,66010
20070720,68248
20070723,69905
20070724,67663
20070725,67533
20070726,67898
20070727,67360
20070730,67551
20070731,68718
20070801,67605
20070802,67807
20070803,67798
20070806,65686
20070807,66181
20070808,66002
20070809,66024
20070810,64381
20070813,65465
20070814,64955
20070815,64246
20070816,64373
20070817,61564
20070820,63230
20070821,62868
20070822,63120
20070823,65089
20070824,64511
20070827,65610
20070828,64823
20070829,63965
20070830,65061
20070831,65564
20070903,64874
20070904,64917
20070905,64757
20070906,64415
20070907,64850
20070910,64237
20070911,64824
20070912,65460
20070913,65339
20070914,65754
20070917,66105
20070918,65783
20070919,66929
20070920,67084
20070921,67102
20070924,67399
20070925,67961
20070926,67321
20070927,67411
20070928,67946
20071008,67555
20071009,66120
20071010,66720
20071011,66835
20071012,66823
20071015,67726
20071016,67694
20071017,66792
20071018,66558
20071019,66368
20071022,65025
20071023,65451
20071024,64859
20071025,65030
20071026,65638
20071029,66414
20071030,65196
20071031,65184
20071101,64400
20071102,63732
20071105,62733
20071106,63470
20071107,63468
20071108,61934
20071109,62212
20071112,59727
20071113,59332
20071114,59825
20071115,60018
20071116,58215
20071119,57370
20071120,55756
20071121,53488
20071122,54690
20071123,55632
20071126,54889
20071127,54645
20071128,55717
20071129,57346
20071130,58313
20071203,57769
20071204,56174
20071205,57536
20071206,56854
20071207,57083
20071210,57390
20071211,57253
20071212,54994
20071213,55589
20071214,54835
20071217,54766
20071218,53184
20071219,54251
20071220,55615
20071221,57353
20071224,59131
20071225,58316
20071226,59071
20071227,58531
20071228,57206
20080102,57185
20080103,58092
20080104,59954
20080107,59233
20080108,59831
20080109,61884
20080110,60864
20080111,62478
20080114,62349
20080115,61119
20080116,59479
20080117,60510
20080118,60136
20080121,60758
20080122,58708
20080123,59101
20080124,60080
20080125,60375
20080128,59194
20080129,60572
20080130,60591
20080131,61192
20080201,61321
20080204,62155
20080205,62546
20080213,63601
20080214,64235
20080215,64084
20080218,65351
20080219,65998
20080220,66053
20080221,67279
20080222,67918
20080225,69823
20080226,66626
20080227,67972
20080228,68727
20080229,68639
20080303,69210
20080304,69306
20080305,67824
20080306,69275
20080307,69173
20080310,68268
20080311,67646
20080312,66571
20080313,66607
20080314,67426
20080317,67979
20080318,65047
20080319,65182
20080320,62931
20080321,64490
20080324,64065
20080325,64686
20080326,64631
20080327,65134
20080328,66145
20080331,66080
20080401,64250
20080402,65364
20080403,66086
20080407,66678
20080408,65760
20080409,65712
20080410,66221
20080411,65445
20080414,64373
20080415,64545
20080416,64237
20080417,64745
20080418,64310
20080421,64246
20080422,64484
20080423,64868
20080424,65474
20080425,64931
20080428,65757
20080429,65477
20080430,65319
20080505,64598
20080506,64896
20080507,64304
20080508,64301
20080509,63337
20080512,62176
20080513,62898
20080514,62120
20080515,61720
20080516,62943
20080519,63021
20080520,63126
20080521,62488
20080522,63026
20080523,62498
20080526,62828
20080527,62402
20080528,62596
20080529,61628
20080530,60734
20080602,60272
20080603,60640
20080604,59896
20080605,60120
